Player Name,Team,Position,Salary,Years,Total Value,Average Annual,Normalized Name,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Kirk, Alejandro",Blue Jays,C,2800000,,0,0.0,Alejandro Kirk,340,386,86,61,19,1,5,51,35,13.2,9.1,0.253,0.359,0.319,0.678,0.257,0.392,0.297,0.324,0.332,0.134,70.1,12.2,14.2,12.2,36.7,31.6,7.0,8,89.4,10.8,34.6,6.7,40.9,99.802023893,94.269440505,15.7,46.6
"Trevino, Jose",Yankees,C,2730000,,0,0.0,Jose Trevino,209,234,45,32,5,0,8,41,20,17.5,8.5,0.215,0.354,0.288,0.642,0.203,0.312,0.284,0.267,0.279,0.109,68.9,3.6,11.6,9.5,41.0,33.9,7.0,2,88.1,9.9,26.9,5.3,35.1,97.968179176,93.099578353,18.7,40.5
"Wisdom, Patrick",Cubs,OF,2725000,,0,0.0,Patrick Wisdom,158,174,27,10,7,2,8,59,10,33.9,5.7,0.171,0.392,0.237,0.629,0.184,0.419,0.271,0.288,0.249,0.236,75.4,56.2,14.7,10.4,27.5,19.5,7.9,9,90.9,28.0,23.8,15.8,48.5,102.1496362,95.721041717,31.4,49.1
"Espinal, Santiago",Reds,INF,2725000,,0,0.0,Santiago Espinal,357,391,88,67,12,0,9,54,24,13.8,6.1,0.246,0.356,0.295,0.651,0.258,0.344,0.285,0.288,0.307,0.087,66.5,2.8,6.7,5.7,35.5,30.2,7.3,8,85.9,15.0,35.0,1.9,24.1,94.957566883,91.492088339,14.8,49.0
"Mateo, Jorge",Orioles,2,2700000,,0,0.0,Jorge Mateo,192,208,44,23,14,2,5,48,10,23.1,4.8,0.229,0.401,0.267,0.668,0.228,0.339,0.286,0.271,0.27,0.111,72.5,22.1,14.0,10.9,28.7,22.3,7.8,0,88.1,14.1,30.2,4.0,34.9,99.943727778,94.060455208,23.1,51.7
"Robles, Victor",Nationals,OF,2650000,,0,0.0,Victor Robles,254,295,78,54,20,0,4,53,21,18.0,7.1,0.307,0.433,0.381,0.814,0.257,0.389,0.357,0.326,0.338,0.132,68.3,2.5,8.2,6.1,35.6,26.8,6.9,8,86.7,14.8,34.8,6.2,28.6,97.345786105,92.756314603,24.7,54.7
"Chisholm Jr., Jazz",Marlins,OF,2625000,,0,0.0,Jazz Chisholm Jr.,562,621,144,95,21,4,24,152,53,24.5,8.5,0.256,0.436,0.324,0.76,0.24,0.415,0.327,0.316,0.31,0.176,72.0,23.6,15.1,10.7,32.2,22.7,7.5,11,89.7,11.4,29.6,9.7,41.1,100.122466782,94.459141861,29.3,47.5
"Brown, Seth",Athletics,OF,2600000,,0,0.0,Seth Brown,372,400,86,60,11,1,14,112,25,28.0,6.3,0.231,0.379,0.282,0.661,0.232,0.387,0.289,0.294,0.284,0.155,73.3,28.2,14.5,10.5,30.9,22.5,7.2,14,90.0,14.6,35.2,8.4,40.6,100.936577054,94.815981008,29.1,52.0
"Taveras, Leody",Rangers,OF,2550000,,0,0.0,Leody Taveras,480,529,110,78,17,3,12,112,42,21.2,7.9,0.229,0.352,0.289,0.641,0.24,0.368,0.282,0.295,0.301,0.129,71.3,14.8,14.4,10.6,32.7,24.1,7.5,6,89.0,14.7,31.5,5.9,35.5,99.173170874,93.650113205,26.2,48.8
"Stephenson, Tyler",Reds,C,2525000,,0,0.0,Tyler Stephenson,457,515,118,72,26,1,19,117,48,22.7,9.3,0.258,0.444,0.338,0.782,0.241,0.403,0.339,0.322,0.325,0.162,70.8,9.4,15.6,12.7,37.5,30.5,7.4,31,90.2,10.9,33.0,9.1,43.9,100.320154503,94.587176774,22.7,43.2
