Player Name,Team,Position,Salary,Years,Total Value,Average Annual,Normalized Name,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Jarvis, Bryce",Diamondbacks,RHP,743600,,0,0.0,Bryce Jarvis,44,59.1,258,218,52,37,9,0,6,38,33,14.7,12.8,0.239,0.362,0.349,0.711,0.27,0.433,0.314,0.354,0.377,0.163,71.1,22.2,11.5,9.3,34.0,27.3,7.2,3.0,90.5,11.4,34.1,7.1,40.1,81.272036264,94.194507845,21.8,48.4
"Baz, Shane",Rays,RHP,743600,,0,0.0,Shane Baz,14,79.1,319,285,57,41,7,0,9,69,27,21.6,8.5,0.2,0.319,0.276,0.595,0.219,0.37,0.266,0.295,0.295,0.151,72.1,25.2,13.1,10.0,33.7,25.8,7.2,7.0,90.5,18.1,28.3,7.3,42.0,81.272223273,94.212895936,24.6,50.2
"Weissert, Greg",Red Sox,RHP,743500,,0,0.0,Greg Weissert,62,63.1,263,237,65,49,9,0,7,58,20,22.1,7.6,0.274,0.401,0.324,0.725,0.248,0.367,0.31,0.291,0.303,0.119,70.6,16.3,12.2,10.0,31.8,26.1,7.2,3.0,88.9,12.8,33.5,5.9,40.5,78.219672637,93.989904231,20.3,48.3
"Bradley, Taj",Rays,RHP,743300,,0,0.0,Taj Bradley,25,138.0,578,519,122,77,22,1,22,154,47,26.6,8.1,0.235,0.408,0.3,0.708,0.231,0.418,0.308,0.314,0.298,0.187,71.6,22.1,12.2,8.9,31.4,22.8,7.2,17.0,91.2,13.3,34.9,10.2,42.9,81.556942554,94.766375924,27.4,50.7
"Meyer, Max",Marlins,RHP,743000,,0,0.0,Max Meyer,11,57.0,248,225,62,28,18,2,14,46,19,18.5,7.7,0.276,0.56,0.339,0.899,0.246,0.454,0.381,0.334,0.313,0.208,72.6,32.6,17.3,13.4,34.9,27.1,7.5,9.0,90.6,10.1,27.2,13.9,47.8,78.957991111,95.543548944,23.9,47.5
"Garcia, Robert",Nationals,LHP,742800,,0,0.0,Robert Garcia,72,59.2,251,232,55,43,8,0,4,75,16,29.9,6.4,0.237,0.323,0.288,0.611,0.207,0.294,0.27,0.248,0.262,0.087,71.3,20.2,9.3,6.5,29.1,20.2,7.3,5.0,87.7,11.5,29.6,3.1,30.2,77.686503947,92.864831776,29.4,51.1
"Vespi, Nick",Orioles,LHP,742700,,0,0.0,Nick Vespi,11,12.1,49,45,10,5,4,0,1,9,3,18.4,6.1,0.222,0.378,0.265,0.643,0.247,0.399,0.276,0.296,0.29,0.153,71.3,16.0,13.1,9.9,37.7,28.4,7.5,2.0,89.1,14.4,32.4,5.4,35.1,78.958070556,93.838524722,25.0,52.1
"Hurt, Kyle",Dodgers,RHP,742500,,0,0.0,Kyle Hurt,3,6.2,27,26,8,6,2,0,0,3,1,11.1,3.7,0.308,0.385,0.333,0.718,0.326,0.495,0.314,0.364,0.351,0.169,69.1,0.0,7.7,7.1,53.8,50.0,7.0,0.0,90.4,14.8,47.8,4.3,47.8,82.244455833,94.344196522,25.5,63.2
"Stone, Gavin",Dodgers,RHP,742500,,0,0.0,Gavin Stone,25,140.1,580,537,133,88,25,2,18,116,37,20.0,6.4,0.248,0.402,0.297,0.699,0.253,0.395,0.304,0.307,0.303,0.142,71.7,26.5,14.0,10.6,34.0,25.8,7.4,13.0,88.2,11.2,32.5,6.4,36.2,77.107440095,93.702925548,24.7,50.5
"Kerkering, Orion",Phillies,RHP,742500,,0,0.0,Orion Kerkering,64,63.0,257,229,51,37,12,0,2,74,17,28.8,6.6,0.223,0.301,0.297,0.598,0.22,0.32,0.271,0.278,0.295,0.099,70.6,17.9,10.8,7.9,32.0,23.3,7.3,9.0,87.3,5.4,32.3,5.1,33.5,76.377573846,93.15931271,27.8,45.4
